country_name;ccode;facility_name;facility_ambiguity;enr_type;size;construction_start;construction_end;operation_start;operation_end;operation2_start;operation2_end;covert;iaea;regional;military;military_ambiguity;multinational;foreign_assistance;foreign_assistance_ambiguity;;;
United Kingdom;200;NDA B203 Pu Residues Recovery Plant at Sellafield;0;1;3;1951;1954;1954;1987;NA;NA;0;1;1;0;0;0;0;0;;;
United Kingdom;200;B204 Reprocessing Plant at Sellafield;0;1;3;1947;1952;1952;1964;1969;1972;1;0;0;1;0;0;0;0;;;
United Kingdom;200;NDA B205 – Magnox Reprocessing Pilot Plant;0;1;2;1956;1957;1957;1968;NA;NA;0;0;0;0;1;0;0;0;;;
United Kingdom;200;NDA Reprocessing Plant MTR;0;1;3;1952;1958;1958;1998;NA;NA;0;0;0;1;0;0;0;0;;;
United Kingdom;200;NDA Thorp;0;1;3;1985;1994;1994;7777;NA;NA;0;1;1;0;0;0;0;0;;;
United Kingdom;200;MOX Demonstration Facility;0;1;2;-99;1993;1993;2000;NA;NA;0;1;1;0;0;0;0;0;;;
United Kingdom;200;NDA Reprocessing Plant (Mox);0;1;3;-99;1980;1980;1998;NA;NA;0;1;1;0;0;0;0;0;;;
United Kingdom;200;NDA Thorp Miniature Pilot Plant (TMPP);0;1;2;-99;-99;-99;-99;NA;NA;0;1;1;0;0;0;0;0;;;
United Kingdom;200;Urenco MLIS Laser Enrichment Facility;1;7;1;-99;1983;1983;1994;NA;NA;0;1;1;0;0;1;1;0;;;
United Kingdom;200;NDA Sellafield North Group Facilities;0;1;3;-99;1953;1953;1985;NA;NA;-99;-99;-99;-99;1;0;-99;1;;;
United States;2;American Centrifuge Demonstration Facility (Piketon, OH);0;3;2;2002;2007;2007;7777;NA;NA;0;0;0;0;0;0;0;0;;;
United States;2;American Centrifuge Plant (Piketon, OH);-77;3;3;2007;9999;9999;9999;NA;NA;0;0;0;0;0;0;0;0;;;
United States;2;Argonne National Laboratory West;0;1;2;1950;1953;1953;1992;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Avco-Everett Research Laboratory;1;7;1;1969;-99;-99;1984;NA;NA;0;-99;0;0;0;0;0;0;;;
United States;2;Barnwell Reprocessing Facility;0;1;3;1970;1977;9999;9999;NA;NA;0;0;0;0;0;0;0;0;;;
United States;2;Chemistry and Metallurgy Research (CMR) Facility at Los Alamos;0;1;1;-99;1952;1952;7777;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;GE Morris;0;1;3;1967;1971;1971;1971;NA;NA;0;0;0;0;0;0;0;0;;;
United States;2;Hanford B Plant I;0;1;1;1943;1945;1945;1952;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Hanford Redox Facility (Plutonium Finishing Plant - Plant Z);0;1;2;1949;1952;1952;1967;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Hanford T Plant Complex (T 224 Facility);0;1;3;1944;1945;1956;1975;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Hanford T Plant Complex (T-Plant);0;1;3;1943;1945;1945;1956;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Hanford-B Plant II (PUREX Plant);0;1;1;1953;1956;1956;1972;1983;1988;1;0;0;1;0;0;0;0;;;
United States;2;Knolls Atomic Power Laboratory;1;1;1;1950;1950;1950;1954;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Idaho Spent Fuel Reprocessing Facility;0;1;3;1950;1959;1959;1992;NA;NA;1;1;0;1;0;0;0;0;;;
United States;2;Isotope Technologies;1;7;1;1990;1990;1990;1990;NA;NA;0;-99;0;0;0;0;0;0;;;
United States;2;Lawrence Livermore ALVIS Laboratory;1;7;1;1984;1991;1991;1999;NA;NA;0;0;0;0;1;0;0;0;;;
United States;2;Los Alamos Laboratory Laser Enrichment Facility;0;7;1;1970;1970;1971;1982;NA;NA;1;0;0;0;1;0;0;0;;;
United States;2;Los Alamos Plutonium Facility (TA-55);0;1;3;1973;1978;1978;7777;NA;NA;0;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge Demonstration Facility  (Manufacturing Demonstration Facility);0;1;2;1949;1950;1950;1953;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge K-25 Plant;0;2;3;1943;1945;1945;1985;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge K-27 Plant;0;2;3;1945;1945;1945;1964;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge K-29 Plant;0;2;3;-99;1951;1951;1985;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge K-31 Plant;0;2;3;1952;1952;1952;1985;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge K-33 Plant;0;2;3;1954;1954;1954;1985;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge Thorex Reprocessing;0;1;2;1950;1954;1954;1958;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge X-10 (Clinton Laboratories);0;1;1;1943;1943;1943;1945;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Oak Ridge Y-12 Plant;0;4;3;1943;1943;1943;1946;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Paducah Gaseous Diffusion;0;2;3;1950;1952;1952;7777;NA;NA;0;1;0;1;0;0;0;0;;;
United States;2;Philadelphia Navy Yard;1;8;1;1943;1943;1943;1944;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Portsmouth Gas Centrifuge Facility, Piketon Ohio;-77;3;3;1982;1985;9999;9999;NA;NA;0;1;0;0;0;0;0;0;;;
United States;2;Portsmouth Diffusion Plant (A-Plant);0;2;3;1952;1956;1956;2001;NA;NA;1;1;0;1;0;0;0;0;;;
United States;2;Savannah River F Canyon;0;1;3;1950;1954;1954;1992;1996;2004;1;0;0;1;0;0;0;0;;;
United States;2;Savannah River H Canyon;0;1;3;1950;1955;1955;1992;1995;7777;1;0;0;1;0;0;0;0;;;
United States;2;Union Carbide Centrifuge Development at Oak Ridge;1;3;1;-99;1960;1960;1978;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;AirResearch Manufacturing Company, Centrifuge Development;1;3;1;-99;1960;1960;1978;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Pilot Centrifuge Plant at Oak Ridge;0;3;2;-99;1978;1978;1985;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;SILEX Plant, Wilmington;0;7;3;2007;2009;2009;7777;NA;NA;0;0;0;0;0;1;1;0;;;
United States;2;Silex Test Loop, Global Laser Enrichment (GLE) in Wilmington;0;7;2;2008;2009;2009;7777;NA;NA;0;0;0;0;0;1;1;0;;;
United States;2;Special Metallurgical Facility, Miamisburg;0;1;3;1956;1960;1960;1968;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;S-50 Plant at Oak Ridge Tennessee;0;8;2;1944;1944;1944;1946;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Urenco USA Eunice, New Mexico (National Enrichment Facility (ENF);0;3;3;2006;2010;2010;7777;NA;NA;0;1;0;0;0;1;1;0;;;
United States;2;University of Virginia, Centrifuge Testing Facility;1;3;1;1939;1941;1941;1944;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;Westinghouse Research Laboratory/Standard Oil Development Company;1;3;1;1942;1943;1943;1943;NA;NA;1;0;0;1;0;0;0;0;;;
United States;2;West Valley Reprocessing Facility;0;1;3;1966;1966;1966;1972;NA;NA;0;0;0;0;0;0;0;0;;;
Yugoslavia;345;Vinca Reprocessing Center near Belgrade (Boris Kidric Institute of Nuclear Sciences);0;1;1;1956;1966;1966;1978;NA;NA;0;0;0;1;0;0;1;0;;;
Yugoslavia;345;Vinca Electromagnetic Isotope Separator (Vinca Laboratory of Physical Chemistry);1;4;1;1956;1965;1965;1970;NA;NA;0;0;0;1;0;0;0;0;;;
Yugoslavia;345;Rudjer Boskovic Institute  ;1;4;1;1952;1954;1954;1977;NA;NA;0;0;0;1;0;0;0;0;;;
Yugoslavia;345;Jozef Stefan Institute near Ljubljana;0;1;1;1949;1954;1954;1962;1974;1977;0;0;0;1;0;0;1;0;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
