country_name;ccode;facility_name;facility_ambiguity;enr_type;size;construction_start;construction_end;operation_start;operation_end;operation2_start;operation2_end;covert;iaea;regional;military;military_ambiguity;multinational;foreign_assistance;foreign_assistance_ambiguity;;;
France;220;Aster, Saclay Essonne;0;7;2;1988;1988;1988;2003;NA;NA;0;0;1;0;0;0;0;0;;;
France;220;Atelier Pilote ;0;1;2;-99;1988;1988;1997;NA;NA;0;0;1;0;0;0;0;0;;;
France;220;La Hague – AT1;0;1;2;-99;1969;1969;1979;NA;NA;0;0;1;0;0;0;0;0;;;
France;220;La Hague (Marcoule-UP1);0;1;3;1952;1958;1958;1997;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;ATTILA, (FONTENAY: ATTaque d’Irradiés-combustibles-en Lits d’Alumine);0;1;2;1966;1966;1966;1975;NA;NA;0;0;0;1;1;0;0;1;;;
France;220;Plutonium Chemistry Laboratory (LCPu) -- Fontenay-aux-Roses;1;1;1;-99;1966;1966;1995;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;FONTENAY: BÂTIMENT RADIOCHIMIE (Building 18);1;1;1;1959;1961;1961;1995;NA;NA;0;0;0;1;1;0;0;0;;;
France;220;FONTENAY: BÂTIMENT PLUTONIUM (Building 19);1;1;1;-99;1957;1957;1984;NA;NA;0;0;0;1;1;0;0;0;;;
France;220;Fontenay Pilot Reprocessing Plant;0;1;2;1952;1954;1954;1957;NA;NA;0;0;0;1;1;0;0;0;;;
France;220;Experimental Reprocessing Facility (Building 211);0;1;2;1960;1968;1968;1997;NA;NA;0;0;0;1;1;0;0;0;;;
France;220;Eurodif (Georges Besse I);0;2;3;1974;1979;1979;2012;NA;NA;0;1;1;0;0;1;1;1;;;
France;220;Georges Besse II—North Plant;0;3;3;2006;2009;2009;7777;NA;NA;0;1;1;0;0;1;1;0;;;
France;220;Georges Besse II—South Plant;-77;3;3;2007;9999;9999;9999;NA;NA;0;1;1;0;0;1;1;0;;;
France;220;PL81 Grenoble;0;5;2;1968;1974;1974;1984;NA;NA;1;0;0;1;1;0;0;0;;;
France;220;Laboratory RM2 (FONTENAY);1;1;1;-99;1968;1968;1982;NA;NA;0;0;0;1;1;0;0;0;;;
France;220;PL4;1;5;1;1984;1984;1984;1985;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;Pilot Chemical Enrichment Plant;0;5;2;1987;1987;1987;1988;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;Pierrelate GDP;0;2;3;1960;1964;1964;1996;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;Pierrelatte, Laser;0;7;2;1984;1984;1984;1996;NA;NA;0;0;0;1;0;0;0;0;;;
France;220;PP35 Pierrelatte;0;5;2;1968;1974;1974;1985;NA;NA;1;0;0;1;1;0;0;0;;;
Germany;260;Enrichment Technology Company Ltd. Zweigniederlassung Deutschland;1;3;1;1960;1964;1964;7777;NA;NA;0;1;1;0;0;1;1;1;;;
Germany;260;Jet Nozzle Demonstration Plant;0;6;2;-99;1976;1976;1980;NA;NA;0;1;1;0;0;0;0;0;;;
Germany;260;Karlsruhe Nuclear Research Center, Institute for Nuclear Process Engineering;0;6;2;1960;1967;1967;1989;NA;NA;0;1;1;0;0;0;0;0;;;
Germany;260;Karlsruhe Reprocessing Plant (WAK);0;1;2;1967;1971;1971;1991;NA;NA;0;1;1;0;0;0;0;0;;;
Germany;260;MILLI Reprocessing Test Facility;0;1;2;1965;1971;1971;1991;NA;NA;0;1;1;0;0;0;0;0;;;
Germany;260;Plutonium Test Extraction Facility (Reprocessing Plant Karlsruhe);0;1;2;1977;1982;1982;1991;NA;NA;0;1;1;0;0;0;0;0;;;
Germany;260;Urenco Germany GmbH, Gronau;0;3;3;1982;1985;1985;7777;NA;NA;0;1;1;0;0;1;1;0;;;
Germany;260;Wackersdorf Reprocessing Plant;-77;1;3;1985;9999;9999;9999;NA;NA;0;1;1;0;0;0;0;0;;;
India;750;BARC, Trombay (Pilot);0;3;2;1980;1985;1985;7777;NA;NA;1;0;0;0;0;0;0;0;;;
India;750;BARC, Laser Enrichment Plant;1;7;1;1982;1993;1993;7777;NA;NA;0;0;0;0;0;0;0;0;;;
India;750;Bhabha Atomic Research Center (at Trombay);0;1;2;1964;1964;1964;1973;1983;7777;0;0;0;1;0;0;0;1;;;
India;750;Center for Advanced Technology, Laser Enrichment Plant;1;7;1;1984;1986;1986;7777;NA;NA;0;0;0;0;0;0;0;0;;;
India;750;Fast Reactor Fuel Reprocessing Plant (FRFRP);0;1;2;2000;2011;2011;7777;NA;NA;0;0;0;0;1;0;0;0;;;
India;750;Kalpakkam Reprocessing Plant (KARP) at Indira Gandhi Centre for Atomic Research Madras;0;1;3;1996;1997;1997;7777;NA;NA;0;0;0;0;1;0;0;0;;;
India;750;Kalpakkam Reprocessing Plant (KARP) Laboratory ;1;1;1;-99;1985;1985;7777;NA;NA;0;0;0;0;1;0;0;0;;;
India;750;Lead Minicell Facility at Kalpakkam (Coral—Compact Reprocessing facility for Advanced fuels in Lead cells);0;1;2;2001;2003;2003;7777;NA;NA;0;0;0;0;0;0;0;0;;;
India;750;Power Reactor Fuel Reprocessing (PREFRE), Bhabha Atomic Research Centre;0;1;3;1969;1977;1977;7777;NA;NA;0;0;0;0;1;0;0;0;;;
India;750;Rattehalli Materials Plant, Mysore;0;3;2;1986;1991;1991;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Iran;630;Natanz Pilot Fuel Enrichment Plant (PFEP);0;3;2;2002;2003;2003;7777;NA;NA;1;1;0;1;1;0;1;0;;;
Iran;630;Natanz Fuel Enrichment Plant (FEP);0;3;3;2001;2006;2006;7777;NA;NA;1;1;0;1;1;0;1;0;;;
Iran;630;Fordow Uranium Enrichment Facility (Qom-FEEP);0;3;2;2006;2011;2011;7777;NA;NA;1;1;0;1;0;0;0;0;;;
Iran;630;Karaj Agricultural and Medical Center (sometimes called Ramandeh);1;7;1;2003;2003;2003;7777;NA;NA;1;1;0;1;1;0;1;0;;;
Iran;630;Kalaye Electric Company;0;3;1;1995;1998;1998;2003;NA;NA;1;1;0;1;1;0;1;0;;;
Iran;630;Lashkar Ab’ad;0;7;2;2000;2002;2002;2003;NA;NA;1;1;0;1;1;0;1;0;;;
Iran;630;Molybdunum, Iodine and Xenon Radioisotope Production (MIX) Facility;-77;1;1;1987;2005;9999;9999;NA;NA;1;1;0;1;1;0;0;0;;;
Iran;630;Tehran Nuclear Research Center (Reprocessing);0;1;1;1967;1974;1974;1993;NA;NA;0;1;0;1;1;0;1;0;;;
Iran;630;Tehran Nuclear Research Center (Enrichment);1;7;1;1991;1993;1993;2000;NA;NA;0;1;0;1;1;0;1;0;;;
Iran;630;Plasma Physics Laboratories in Tehran (TNRC);1;3;1;-99;1985;1985;1997;NA;NA;1;1;0;1;1;0;0;1;;;
Iraq;645;Al Tuwaitha Chemical Ion Enrichment Facility;0;5;1;-99;1991;1991;1991;NA;NA;1;0;0;1;0;0;0;1;;;
Iraq;645;Al Tuwaitha Laser;1;7;1;1981;-99;-99;1987;NA;NA;1;0;0;1;0;0;0;0;;;
Iraq;645;Al Tuwaitha Hot Cell;0;1;1;1982;1990;1990;1991;NA;NA;1;0;0;1;0;0;0;0;;;
Iraq;645;Al Tuwaitha Centrifuge;1;3;1;1987;1987;1987;1987;NA;NA;1;0;0;1;0;0;0;0;;;
Iraq;645;Al Tarmiya (north of Baghdad);0;4;2;1982;1990;1990;1991;NA;NA;1;0;0;1;0;0;1;0;;;
Iraq;645;Ash Sharqat Enrichment Facility;0;4;2;1987;-99;-99;-99;NA;NA;1;0;0;1;0;0;0;0;;;
Iraq;645;Al Tuwaitha Gas Diffusion Facility;-77;2;1;-99;1987;9999;9999;NA;NA;1;0;0;1;0;0;0;0;;;
Iraq;645;Laboratory Reprocessing Facility (Radiochemistry Laboratory);0;1;1;1979;1982;1982;1991;NA;NA;1;0;0;1;0;0;1;0;;;
Iraq;645;Rashdiya Building 22;0;3;1;1988;1988;1990;1991;NA;NA;1;0;0;1;0;0;1;1;;;
Israel;666;Negev Nuclear Research Center, Dimona Machon 8;0;3;3;1958;1979;1979;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Israel;666;Negev Nuclear Research Center, Dimona Machon 9;0;7;1;1972;1974;1974;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Israel;666;Negev Nuclear Research Center, Dimona Machon 2;0;1;3;1957;1963;1963;7777;NA;NA;1;0;0;1;0;0;1;0;;;
Israel;666;Nahal Soreq;0;1;2;-99;1983;1983;7777;NA;NA;1;0;0;1;1;0;0;0;;;
Italy;325;Eurex SFRE (MTR) at Saluggia in Vercelli;0;1;2;1964;1968;1970;1983;NA;NA;0;1;0;0;0;0;0;0;;;
Italy;325;Eurex SFRE (Oxide) at Saluggia in Vercelli;0;1;2;1976;1980;1980;1990;NA;NA;0;1;1;0;0;0;0;0;;;
Italy;325;Eurex SFRE (PU Nitrate Line) Saluggia in Vercelli;0;1;2;1981;1988;1988;1990;NA;NA;0;1;1;0;0;0;0;0;;;
Italy;325;ITREC at Trisaia;0;1;2;1962;1966;1966;1980;NA;NA;0;1;1;0;0;0;1;0;;;
Japan;740;Asahi Uranium Enrichment Laboratory;0;5;2;1982;1986;1986;1991;NA;NA;0;1;0;0;0;0;0;0;;;
Japan;740;JAEA Ningyo – Toge Enrichment Demo. Plant (DOP);0;3;2;1985;1988;1988;2001;NA;NA;0;1;0;0;0;0;0;0;;;
Japan;740;JAEA Tokai (Enrichment Tests in Naka-gun, Ibaraki prefecture);0;7;1;1987;1991;1991;2003;NA;NA;0;1;0;0;0;0;0;0;;;
Japan;740;JAEA Tokai Reprocessing Plant (Japan Nuclear Cycle Institute);0;1;2;1971;1975;1975;2006;NA;NA;0;1;0;0;0;0;1;0;;;
Japan;740;Ningyo – Toge Uranium Pilot Plant;0;3;2;1978;1979;1979;1999;NA;NA;0;1;0;0;0;0;0;0;;;
Japan;740;Reprocessing Test Facility (JRTF);0;1;1;1968;1968;1968;1970;NA;NA;0;1;0;0;0;0;0;0;;;
Japan;740;Rokkasho Reprocessing Plant I;0;1;3;1993;2004;2005;7777;NA;NA;0;1;0;0;0;0;1;0;;;
Japan;740;Rokkasho Uranium Enrichment Plant;0;3;3;1988;1992;1992;2009;2011;7777;0;1;0;0;0;0;0;0;;;
Japan;740;Tokai Test Facility;0;7;1;-99;1987;1987;2003;NA;NA;0;1;0;0;0;0;0;0;;;
Libya;620;Al Hashan Enrichment Facility;1;3;1;-99;2000;2000;2002;NA;NA;1;0;0;1;0;0;1;0;;;
Libya;620;Plutonium Separation Facility at Tajura Nuclear Research Center;0;1;1;-99;1984;1984;2003;NA;NA;1;0;0;1;0;0;1;0;;;
Libya;620;Tajoura Enrichment Facility;1;3;1;-99;1982;1982;1992;NA;NA;1;0;0;1;0;0;1;0;;;
Netherlands;210;Almelo SP1 (Dutch);0;3;2;1971;1973;1973;1981;NA;NA;0;1;1;0;0;1;1;0;;;
Netherlands;210;Almelo SP2 (German Plant adjacent to the Dutch one in Almelo);0;3;2;1971;1973;1973;1981;NA;NA;0;1;1;0;0;1;1;0;;;
Netherlands;210;Almelo SP3 Demonstration;0;3;2;1974;1980;1980;2005;NA;NA;0;1;1;0;0;1;1;0;;;
Netherlands;210;Almelo SP4;0;3;3;1979;1981;1981;7777;NA;NA;0;1;1;0;0;1;1;0;;;
Netherlands;210;Almelo SP5;0;3;3;1999;2000;2000;7777;NA;NA;0;1;1;0;0;1;1;0;;;
North Korea;731;Radio Chemical Laboratory (Yongbyon);0;1;3;-99;1983;1983;1993;2003;2009;1;1;0;1;1;0;0;1;;;
North Korea;731;Isotope Production Laboratory;0;1;1;-99;1975;1975;7777;NA;NA;1;0;0;1;1;0;1;0;;;
North Korea;731;Yongbyon Enrichment Facility;0;3;3;2009;2010;2010;7777;NA;NA;1;0;0;1;1;0;1;0;;;
Norway;385;Plutonium Laboratory at Kjeller;0;1;1;-99;-99;1954;1961;NA;NA;0;0;0;0;1;0;1;1;;;
Norway;385;Kjeller Pilot Uranium Reprocessing Plant;0;1;2;-99;1961;1961;1968;NA;NA;0;0;0;0;0;1;1;0;;;
Pakistan;770;Chaklala;0;3;2;1974;1976;1980;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Pakistan;770;Chashma Reprocessing Facility;0;1;2;1974;-99;-99;-99;NA;NA;0;1;0;1;0;0;1;0;;;
Pakistan;770;Golra;0;3;2;1987;-99;-99;-99;NA;NA;1;0;0;1;0;0;0;0;;;
Pakistan;770;Gadwal;0;3;2;1998;1998;1998;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Pakistan;770;Kahuta- KRL (A.Q. Khan Research Laboratories);0;3;3;1974;1984;1984;7777;NA;NA;1;0;0;1;0;0;1;1;;;
Pakistan;770;Experimental Reprocessing Plant at Pakistan Institute of Nuclear Science and Technology (PINSTECH);0;1;2;1971;1973;1973;7777;NA;NA;1;0;0;1;0;0;1;0;;;
Pakistan;770;New Labs at PINSTECH  ;0;1;2;1980;1982;1987;7777;NA;NA;1;0;0;1;0;0;1;1;;;
Pakistan;770;Sihala;0;3;2;1976;1979;1979;7777;NA;NA;1;0;0;1;0;0;0;1;;;
Romania;360;Pitesti Nuclear Research Institute;0;1;1;1981;1985;1985;1989;NA;NA;1;0;0;1;1;0;0;0;;;
Russia;365;Angarsk ElectroChemical Combine, Diffusion;0;2;3;1949;1957;1957;1992;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Angarsk ElectroChemical Combine, Centrifuge;0;3;3;-99;1954;1954;7777;NA;NA;1;1;0;1;0;0;0;0;;;
Russia;365;Dneproetrovsk Physicochemical Institute;1;8;1;1941;1941;1941;1941;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Institute A (near Sukhumi);1;3;1;-99;1945;1945;1952;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Institute G (near Sukhumi);1;2;1;1945;1947;1947;1949;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Krasnoyarsk-45 Electronchemical Plant - Diffusion (Zelenogorsk in Laughter);0;2;3;1949;1964;1964;1990;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Krasnoyarsk-45 Electronchemical Plant - Centrifuge (Zelenogorsk in Laughter);0;3;3;-99;1964;1964;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Krasnoyarsk-26;0;1;3;1950;1964;1964;2012;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Sverdlovsk Laboratory of Electric Phenomena;1;3;1;1943;1944;1944;1950;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Laboratory No. 2, Moscow;1;1;1;1943;1944;1944;1955;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Leningrad Compressor Plant;1;2;1;1945;1946;1946;1950;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Gorky Machine Building Plant;1;2;1;1947;1947;1947;1950;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;B Plant, Mayak (Chelyabinsk-65);0;1;2;1946;1948;1948;1971;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Pilot Centrifuge Plant, Urals Electro-Chemical Combine, Novouralsk;0;3;2;1955;1957;1957;1962;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Commercial Centrifuge Plant 1, Urals Electro-Chemical Combine, Novouralsk;0;3;3;1960;1962;1962;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Commercial Centrifuge Plant 2, Urals Electro-Chemical Combine, Novouralsk;0;3;3;-99;-99;1987;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Commercial Centrifuge Plant 3, Urals Electro-Chemical Combine, Novouralsk;0;3;3;-99;-99;1987;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Commercial Centrifuge Plant 4, Urals Electro-Chemical Combine, Novouralsk;0;3;3;-99;-99;1987;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Radium Institute;1;8;1;1942;1943;1943;-99;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;RIAR (Research Institute of Atomic Reactors);0;1;2;1956;1965;1965;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;RT–1, Combined Mayak in Ozersk/Chelyabinsk-65;0;1;3;1971;1971;1971;7777;NA;NA;1;0;0;0;0;0;0;0;;;
Russia;365;RT – 2;-77;1;3;1976;9999;9999;9999;NA;NA;1;0;0;0;1;0;0;0;;;
Russia;365;D1, Urals Electro-Chemical Combine, Novouralsk;0;2;2;1946;1948;1948;1955;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;D3, Urals Electro-Chemical Combine, Novouralsk;0;2;3;1950;1951;1951;1987;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;D4, Urals Electro-Chemical Combine, Novouralsk;0;2;3;1950;1953;1953;1987;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;D5, Urals Electro-Chemical Combine, Novouralsk;0;2;3;1950;1953;1953;1987;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Siberian Chemical Combine - Diffusion (Seversk formerly Tomsk-7);0;2;2;1949;1950;1950;1973;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Siberian Chemical Combine - Centrifuge (Seversk formerly Tomsk-7);0;3;3;1973;1973;1973;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Siberian Chemical Combine (Seversk) II;0;1;3;1949;1954;1954;7777;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;Ukrainian Physicotechnical Institute in Khar’kov;1;3;1;1941;1941;1941;1941;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;SU-20, Plant 418;0;4;2;1946;1948;1948;1950;NA;NA;1;0;0;1;0;0;0;0;;;
Russia;365;S-2, Arzamas-16;0;4;2;-99;1969;1969;7777;NA;NA;1;0;0;1;0;0;0;0;;;
South Africa;560;Valindaba (Laser);0;7;2;1983;1995;1995;1998;NA;NA;1;1;0;1;1;0;0;0;;;
South Africa;560;Valindaba Y – Plant;0;6;2;1971;1975;1975;1979;1981;1990;0;0;0;1;0;0;0;0;;;
South Africa;560;Valindaba Z – Plant;0;6;3;-99;1986;1986;1995;NA;NA;1;1;0;0;1;0;0;0;;;
South Africa;560;Laboratory Enrichment Facility at Pelindaba;0;6;1;1960;1967;1967;1988;NA;NA;1;0;0;1;0;0;0;0;;;
South Africa;560;Hot Cell Complex, Pelindaba Nuclear Research Center;0;1;3;1984;1987;1987;7777;NA;NA;0;1;0;0;0;0;0;0;;;
South Korea;732;KAERI (Laboratory for Quantum Optics at Korea Atomic Energy Research Institute);0;7;1;-99;-99;1990;2000;NA;NA;1;0;0;0;1;0;1;0;;;
South Korea;732;Hot Cell Facility, (KAERI Facility);0;1;1;-99;-99;1982;1982;NA;NA;1;0;0;0;1;0;0;0;;;
South Korea;732;Pyroprocessing Facility (KAERI);1;1;1;1996;1997;1997;7777;NA;NA;0;1;0;0;0;0;1;0;;;
South Korea;732;Chemical Enrichment (KAERI);0;5;1;-99;-99;1979;1981;NA;NA;1;0;0;0;1;0;0;0;;;
Spain;230;Juan Vigon Pilot Reprocessing Plant;0;1;2;-99;1967;1967;1971;NA;NA;0;0;0;0;1;0;0;0;;;
Sweden;380;Stockholm Extraction Laboratory;0;1;1;1946;1954;1954;1960;NA;NA;1;0;0;1;0;0;0;0;;;
Sweden;380;Studsvik Research Center;0;1;1;-99;1960;1960;1972;NA;NA;1;0;0;1;0;0;0;0;;;
Taiwan;713;Institute for Nuclear Energy Reaction (INER) Reprocessing Facility I;0;1;1;1970;1976;1976;1977;NA;NA;1;1;0;1;0;0;1;1;;;
Taiwan;713;Institute for Nuclear Energy Reaction (INER) Reprocessing Facility II;1;1;1;1975;1976;1976;1977;NA;NA;1;1;0;1;0;0;0;1;;;
Taiwan;713;Institute for Nuclear Energy Reaction (INER) Reprocessing Facility III;-77;1;1;1987;1988;9999;9999;NA;NA;1;1;0;1;0;0;0;0;;;
United Kingdom;200;Capenhurst A-3  ;0;3;3;1982;1987;1987;7777;NA;NA;0;1;1;1;0;1;1;0;;;
United Kingdom;200;Capenhurst (GD) (E-22);0;2;3;1950;1952;1952;1980;NA;NA;1;1;1;1;0;0;0;0;;;
United Kingdom;200;Capenhurst (Urenco);0;3;3;-99;1972;1972;7777;NA;NA;0;1;1;0;0;1;1;0;;;
United Kingdom;200;Capenhurst (E-21);0;3;2;1976;1980;1980;1991;NA;NA;0;1;0;0;0;1;1;0;;;
United Kingdom;200;Capenhurst (E-23);0;3;3;-99;1997;1997;7777;NA;NA;0;1;1;0;0;1;1;0;;;
United Kingdom;200;Dounreay Reprocessing Facility;0;1;2;1957;1958;1958;1996;NA;NA;0;1;1;0;0;0;0;0;;;
United Kingdom;200;NDA B205 Magnox Reprocessing;0;1;3;-99;1964;1964;7777;NA;NA;0;-99;-99;1;0;0;0;0;;;
United Kingdom;200;NDA B205 Plutonium Operating Corridors;0;1;3;-99;1964;1964;1968;NA;NA;0;0;0;-99;1;0;0;0;;;
United Kingdom;200;NDA B206 Solvent Regeneration Plant;0;1;3;-99;1952;1952;1963;NA;NA;0;0;0;1;1;0;0;0;;;
United Kingdom;200;NDA B207 Uranium Purification Plant;0;1;3;-99;1952;1952;1973;NA;NA;0;0;0;1;0;0;0;0;;;
